04-16 16:38:56	##### arguments #####
04-16 16:38:56	dataset: cifar10
04-16 16:38:56	model_config: config/model/wrn-16-4.json
04-16 16:38:56	-- num_layer: 16
04-16 16:38:56	-- widening_factor: 4
04-16 16:38:56	run_config: config/run/adv_train_fgsm.json
04-16 16:38:56	-- batch_size_train: 128
04-16 16:38:56	-- batch_size_eval: 256
04-16 16:38:56	-- num_epochs: 100
04-16 16:38:56	-- learning_rate: 0.1
04-16 16:38:56	-- learning_rate_scheduler: cyclicLR
04-16 16:38:56	-- momentum: 0.9
04-16 16:38:56	-- weight_decay: 0.0005
04-16 16:38:56	-- dropout_rate: 0
04-16 16:38:56	-- adv_train_type: fgsm
04-16 16:38:56	-- epsilon_train: 8
04-16 16:38:56	-- alpha_train: 2
04-16 16:38:56	-- epsilon_eval: 8
04-16 16:38:56	-- alpha_eval: 2
04-16 16:38:56	-- restarts_eval: 1
04-16 16:38:56	-- attack_iters_eval: 5
04-16 16:38:56	device: cuda (1 GPUs)
04-16 16:38:56	output_path: results/cifar10/baselines/adversarial_fgsm/wrn-16-4
04-16 16:38:56	log_file: results/cifar10/baselines/adversarial_fgsm/wrn-16-4/adv_train_wrn_log.txt

04-16 16:38:56	start loading datasets: cifar10
04-16 16:38:57	loaded 50000 dataset_train samples
04-16 16:38:57	loaded 10000 dataset_test samples
04-16 16:38:57	elapsed time: 0:00:01.222139

04-16 16:38:57	start initializing a model
04-16 16:38:58	end initializing a model
04-16 16:38:58	elapsed time:0:00:00.048502

04-16 16:38:58	start setting trainer configurations
04-16 16:39:02	end setting trainer configurations
04-16 16:39:02	elapsed time:0:00:04.034917

04-16 16:39:02	start training a model
04-16 16:39:02	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-16 16:39:49	001	train	2.4892	0.0557	|	test	2.0389	0.0482
04-16 16:40:37	002	train	1.9626	0.2456	|	test	1.7951	0.1733
04-16 16:41:24	003	train	1.7836	0.3248	|	test	1.6765	0.1992
04-16 16:42:11	004	train	1.6774	0.3666	|	test	1.5974	0.2013
04-16 16:42:59	005	train	1.5897	0.4046	|	test	1.5323	0.2173
04-16 16:43:46	006	train	1.4948	0.4383	|	test	1.4641	0.2326
04-16 16:44:33	007	train	1.3996	0.4785	|	test	1.3940	0.2339
04-16 16:45:20	008	train	1.3200	0.5087	|	test	1.3677	0.2354
04-16 16:46:08	009	train	1.2420	0.5354	|	test	1.3144	0.2396
04-16 16:46:55	010	train	1.1708	0.5661	|	test	1.2836	0.2518
04-16 16:47:42	011	train	1.1150	0.5858	|	test	1.2386	0.2585
04-16 16:48:30	012	train	1.0605	0.6078	|	test	1.2137	0.2572
04-16 16:49:17	013	train	1.0186	0.6235	|	test	1.2097	0.2742
04-16 16:50:04	014	train	0.9854	0.6369	|	test	1.1864	0.2706
04-16 16:50:52	015	train	0.9493	0.6513	|	test	1.1802	0.2741
04-16 16:51:39	016	train	0.9189	0.6605	|	test	1.1492	0.2856
04-16 16:52:27	017	train	0.8911	0.6726	|	test	1.1550	0.2856
04-16 16:53:14	018	train	0.8690	0.6813	|	test	1.1324	0.2886
04-16 16:54:01	019	train	0.8410	0.6897	|	test	1.1319	0.2947
04-16 16:54:49	020	train	0.8221	0.6992	|	test	1.1364	0.2786
04-16 16:55:36	021	train	0.8010	0.7062	|	test	1.1062	0.2951
04-16 16:56:23	022	train	0.7826	0.7118	|	test	1.1187	0.2935
04-16 16:57:11	023	train	0.7682	0.7180	|	test	1.1134	0.2936
04-16 16:57:58	024	train	0.7539	0.7234	|	test	1.1118	0.2861
04-16 16:58:46	025	train	0.7400	0.7288	|	test	1.0883	0.3089
04-16 16:59:33	026	train	0.7253	0.7328	|	test	1.0928	0.3020
04-16 17:00:21	027	train	0.7118	0.7373	|	test	1.1118	0.2916
04-16 17:01:08	028	train	0.7034	0.7420	|	test	1.1492	0.2841
04-16 17:01:55	029	train	0.6930	0.7458	|	test	1.0971	0.2998
04-16 17:02:43	030	train	0.6853	0.7482	|	test	1.0957	0.2847
04-16 17:03:30	031	train	0.6741	0.7552	|	test	1.0812	0.3100
04-16 17:04:18	032	train	0.6704	0.7529	|	test	1.0973	0.2868
04-16 17:05:05	033	train	0.6603	0.7556	|	test	1.1091	0.3093
04-16 17:05:52	034	train	0.6519	0.7608	|	test	1.0793	0.3014
04-16 17:06:40	035	train	0.6487	0.7612	|	test	1.0872	0.2955
04-16 17:07:27	036	train	0.6442	0.7636	|	test	1.1019	0.2939
04-16 17:08:14	037	train	0.6360	0.7654	|	test	1.0801	0.2984
04-16 17:09:02	038	train	0.6311	0.7677	|	test	1.0993	0.2948
04-16 17:09:49	039	train	0.6250	0.7706	|	test	1.0658	0.3125
04-16 17:10:37	040	train	0.6243	0.7682	|	test	1.0887	0.3069
04-16 17:11:24	041	train	0.6199	0.7707	|	test	1.1441	0.2797
04-16 17:12:11	042	train	0.6140	0.7738	|	test	1.1386	0.2777
04-16 17:12:58	043	train	0.6087	0.7759	|	test	1.1040	0.2982
04-16 17:13:46	044	train	0.6070	0.7749	|	test	1.0877	0.3076
04-16 17:14:33	045	train	0.5975	0.7803	|	test	1.0670	0.3162
04-16 17:15:21	046	train	0.6011	0.7797	|	test	1.1257	0.2779
04-16 17:16:08	047	train	0.5990	0.7798	|	test	1.1012	0.2897
04-16 17:16:55	048	train	0.5989	0.7809	|	test	1.0879	0.2943
04-16 17:17:43	049	train	0.5899	0.7845	|	test	1.1154	0.2998
04-16 17:18:30	050	train	0.5915	0.7819	|	test	1.1003	0.2828
04-16 17:19:17	051	train	0.5873	0.7842	|	test	1.0982	0.2986
04-16 17:20:05	052	train	0.5781	0.7858	|	test	1.1608	0.2687
04-16 17:20:52	053	train	0.5721	0.7877	|	test	1.0513	0.3094
04-16 17:21:39	054	train	0.5671	0.7914	|	test	1.0907	0.2972
04-16 17:22:27	055	train	0.5602	0.7928	|	test	1.0960	0.2938
04-16 17:23:14	056	train	0.5510	0.7959	|	test	1.0632	0.3243
04-16 17:24:01	057	train	0.5522	0.7960	|	test	1.0602	0.3141
04-16 17:24:49	058	train	0.5428	0.7979	|	test	1.1029	0.2923
04-16 17:25:36	059	train	0.5411	0.7995	|	test	1.0987	0.3088
04-16 17:26:24	060	train	0.5328	0.8036	|	test	1.0491	0.3304
04-16 17:27:11	061	train	0.5270	0.8033	|	test	1.1230	0.2920
04-16 17:27:58	062	train	0.5216	0.8068	|	test	1.0555	0.3209
04-16 17:28:46	063	train	0.5201	0.8070	|	test	1.0684	0.3180
04-16 17:29:33	064	train	0.5108	0.8110	|	test	1.0867	0.3027
04-16 17:30:20	065	train	0.5040	0.8125	|	test	1.1280	0.2864
04-16 17:31:08	066	train	0.5003	0.8153	|	test	1.0976	0.3092
04-16 17:31:55	067	train	0.4944	0.8160	|	test	1.1118	0.2976
04-16 17:32:43	068	train	0.4951	0.8171	|	test	1.0687	0.3112
04-16 17:33:30	069	train	0.4825	0.8213	|	test	1.0707	0.3095
04-16 17:34:17	070	train	0.4728	0.8254	|	test	1.0737	0.3046
04-16 17:35:05	071	train	0.4696	0.8250	|	test	1.0755	0.3064
04-16 17:35:52	072	train	0.4647	0.8289	|	test	1.0587	0.3184
04-16 17:36:39	073	train	0.4582	0.8290	|	test	1.0696	0.3036
04-16 17:37:27	074	train	0.4504	0.8330	|	test	1.0585	0.3197
04-16 17:38:14	075	train	0.4464	0.8342	|	test	1.0506	0.3212
04-16 17:39:02	076	train	0.4360	0.8393	|	test	1.1073	0.2926
04-16 17:39:49	077	train	0.4288	0.8407	|	test	1.0998	0.2909
04-16 17:40:36	078	train	0.4203	0.8444	|	test	1.0559	0.3162
04-16 17:41:24	079	train	0.4144	0.8442	|	test	1.0726	0.3084
04-16 17:42:11	080	train	0.4024	0.8501	|	test	1.0838	0.3108
04-16 17:42:58	081	train	0.3895	0.8557	|	test	1.0713	0.3203
04-16 17:43:46	082	train	0.3832	0.8574	|	test	1.0710	0.3267
04-16 17:44:33	083	train	0.3773	0.8604	|	test	1.1012	0.3042
04-16 17:45:20	084	train	0.3638	0.8658	|	test	1.1058	0.3135
04-16 17:46:08	085	train	0.3525	0.8708	|	test	1.1021	0.3045
04-16 17:46:56	086	train	0.3395	0.8743	|	test	1.1189	0.3008
04-16 17:47:43	087	train	0.3280	0.8777	|	test	1.1160	0.3059
04-16 17:48:30	088	train	0.3127	0.8845	|	test	1.1005	0.3153
04-16 17:49:18	089	train	0.2975	0.8912	|	test	1.1126	0.3061
04-16 17:50:05	090	train	0.2856	0.8943	|	test	1.0989	0.3126
04-16 17:50:52	091	train	0.2706	0.9028	|	test	1.1103	0.3195
04-16 17:51:40	092	train	0.2519	0.9087	|	test	1.1385	0.3144
04-16 17:52:27	093	train	0.2262	0.9192	|	test	1.1173	0.3231
04-16 17:53:14	094	train	0.2066	0.9254	|	test	1.1664	0.3176
04-16 17:54:02	095	train	0.1835	0.9358	|	test	1.1558	0.3166
04-16 17:54:49	096	train	0.1639	0.9438	|	test	1.1658	0.3174
04-16 17:55:36	097	train	0.1392	0.9534	|	test	1.1666	0.3264
04-16 17:56:24	098	train	0.1180	0.9624	|	test	1.1793	0.3248
04-16 17:57:11	099	train	0.0998	0.9700	|	test	1.1706	0.3352
04-16 17:57:58	100	train	0.0854	0.9752	|	test	1.1829	0.3290
04-16 17:57:58	end training a model
04-16 17:57:58	elapsed time:1:18:56.730730

