04-24 10:48:55	##### arguments #####
04-24 10:48:55	dataset: cifar100
04-24 10:48:55	model_config: config/model/wrn-16-8.json
04-24 10:48:55	-- num_layer: 16
04-24 10:48:55	-- widening_factor: 8
04-24 10:48:55	run_config: config/run/adv_train.json
04-24 10:48:55	-- batch_size_train: 128
04-24 10:48:55	-- batch_size_eval: 256
04-24 10:48:55	-- num_epochs: 100
04-24 10:48:55	-- learning_rate: 0.1
04-24 10:48:55	-- learning_rate_scheduler: cyclicLR
04-24 10:48:55	-- momentum: 0.9
04-24 10:48:55	-- weight_decay: 0.0005
04-24 10:48:55	-- dropout_rate: 0
04-24 10:48:55	-- adv_train_type: pgd
04-24 10:48:55	-- epsilon_train: 8
04-24 10:48:55	-- alpha_train: 2
04-24 10:48:55	-- restarts_train: 1
04-24 10:48:55	-- attack_iters_train: 7
04-24 10:48:55	-- epsilon_eval: 8
04-24 10:48:55	-- alpha_eval: 2
04-24 10:48:55	-- restarts_eval: 1
04-24 10:48:55	-- attack_iters_eval: 5
04-24 10:48:55	device: cuda (1 GPUs)
04-24 10:48:55	output_path: results/cifar100/baselines/adversarial/wrn-16-8
04-24 10:48:55	log_file: results/cifar100/baselines/adversarial/wrn-16-8/adv_train_wrn_log.txt

04-24 10:48:55	start loading datasets: cifar100
04-24 10:48:57	loaded 50000 dataset_train samples
04-24 10:48:57	loaded 10000 dataset_test samples
04-24 10:48:57	elapsed time: 0:00:02.708263

04-24 10:48:57	start initializing a model
04-24 10:48:58	end initializing a model
04-24 10:48:58	elapsed time:0:00:00.178514

04-24 10:48:58	start setting trainer configurations
04-24 10:49:01	end setting trainer configurations
04-24 10:49:01	elapsed time:0:00:03.888463

04-24 10:49:01	start training a model
04-24 10:49:01	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-24 10:55:30	001	train	5.1875	0.0074	|	test	4.4782	0.0225
04-24 11:01:59	002	train	4.5244	0.0273	|	test	4.3454	0.0386
04-24 11:08:28	003	train	4.3921	0.0400	|	test	4.1531	0.0547
04-24 11:14:57	004	train	4.2789	0.0533	|	test	3.9975	0.0674
04-24 11:21:26	005	train	4.1829	0.0639	|	test	3.8505	0.0864
04-24 11:27:55	006	train	4.0947	0.0802	|	test	3.7326	0.1020
04-24 11:34:24	007	train	4.0142	0.0923	|	test	3.6299	0.1152
04-24 11:40:54	008	train	3.9443	0.1008	|	test	3.5190	0.1276
04-24 11:47:23	009	train	3.8854	0.1114	|	test	3.4610	0.1396
04-24 11:53:52	010	train	3.8291	0.1206	|	test	3.3683	0.1459
04-24 12:00:21	011	train	3.7714	0.1292	|	test	3.3009	0.1532
04-24 12:06:50	012	train	3.7189	0.1361	|	test	3.2120	0.1662
04-24 12:13:20	013	train	3.6713	0.1432	|	test	3.1488	0.1769
04-24 12:19:49	014	train	3.6206	0.1532	|	test	3.0940	0.1819
04-24 12:26:18	015	train	3.5710	0.1608	|	test	3.0085	0.1933
04-24 12:32:48	016	train	3.5229	0.1665	|	test	2.9466	0.2026
04-24 12:39:17	017	train	3.4805	0.1763	|	test	2.9252	0.2111
04-24 12:45:46	018	train	3.4346	0.1841	|	test	2.8481	0.2092
04-24 12:52:15	019	train	3.3978	0.1916	|	test	2.8109	0.2150
04-24 12:58:45	020	train	3.3615	0.1950	|	test	2.7710	0.2248
04-24 13:05:14	021	train	3.3230	0.2016	|	test	2.7174	0.2348
04-24 13:11:44	022	train	3.2938	0.2086	|	test	2.6886	0.2299
04-24 13:18:13	023	train	3.2570	0.2139	|	test	2.6379	0.2407
04-24 13:24:42	024	train	3.2294	0.2179	|	test	2.6247	0.2419
04-24 13:31:12	025	train	3.1994	0.2233	|	test	2.5939	0.2527
04-24 13:37:41	026	train	3.1737	0.2283	|	test	2.5974	0.2523
04-24 13:44:10	027	train	3.1447	0.2335	|	test	2.5594	0.2602
04-24 13:50:39	028	train	3.1209	0.2401	|	test	2.5314	0.2621
04-24 13:57:08	029	train	3.0928	0.2424	|	test	2.5063	0.2595
04-24 14:03:37	030	train	3.0721	0.2477	|	test	2.4913	0.2635
04-24 14:10:06	031	train	3.0500	0.2518	|	test	2.5030	0.2678
04-24 14:16:35	032	train	3.0292	0.2557	|	test	2.4443	0.2715
04-24 14:23:04	033	train	3.0038	0.2615	|	test	2.3965	0.2793
04-24 14:29:33	034	train	2.9860	0.2627	|	test	2.4220	0.2742
04-24 14:36:02	035	train	2.9700	0.2662	|	test	2.3819	0.2712
04-24 14:42:31	036	train	2.9490	0.2692	|	test	2.3806	0.2813
04-24 14:49:00	037	train	2.9355	0.2705	|	test	2.3802	0.2810
04-24 14:55:30	038	train	2.9176	0.2751	|	test	2.3731	0.2735
04-24 15:01:59	039	train	2.9033	0.2779	|	test	2.3599	0.2824
04-24 15:08:28	040	train	2.8890	0.2814	|	test	2.3960	0.2747
04-24 15:14:57	041	train	2.8793	0.2806	|	test	2.3195	0.2777
04-24 15:21:26	042	train	2.8666	0.2832	|	test	2.3360	0.2795
04-24 15:27:55	043	train	2.8549	0.2859	|	test	2.3336	0.2849
04-24 15:34:24	044	train	2.8398	0.2880	|	test	2.3230	0.2833
04-24 15:40:53	045	train	2.8362	0.2903	|	test	2.3296	0.2744
04-24 15:47:22	046	train	2.8256	0.2950	|	test	2.3072	0.2938
04-24 15:53:51	047	train	2.8117	0.2957	|	test	2.3152	0.2826
04-24 16:00:20	048	train	2.7991	0.2965	|	test	2.2968	0.2814
04-24 16:06:49	049	train	2.7909	0.2983	|	test	2.2841	0.2884
04-24 16:13:18	050	train	2.7884	0.2992	|	test	2.2937	0.2844
04-24 16:19:46	051	train	2.7730	0.3018	|	test	2.3253	0.2916
04-24 16:26:15	052	train	2.7590	0.3034	|	test	2.2786	0.2886
04-24 16:32:44	053	train	2.7367	0.3093	|	test	2.2637	0.2865
04-24 16:39:14	054	train	2.7245	0.3107	|	test	2.2561	0.2884
04-24 16:45:43	055	train	2.7095	0.3136	|	test	2.2471	0.3009
04-24 16:52:12	056	train	2.6937	0.3172	|	test	2.2260	0.2941
04-24 16:58:41	057	train	2.6820	0.3186	|	test	2.2404	0.2846
04-24 17:05:10	058	train	2.6674	0.3211	|	test	2.2168	0.2892
04-24 17:11:38	059	train	2.6486	0.3282	|	test	2.2436	0.2949
04-24 17:18:07	060	train	2.6340	0.3295	|	test	2.1959	0.2968
04-24 17:24:36	061	train	2.6194	0.3303	|	test	2.2174	0.3017
04-24 17:31:05	062	train	2.6025	0.3353	|	test	2.1849	0.2929
04-24 17:37:34	063	train	2.5879	0.3359	|	test	2.1805	0.3001
04-24 17:44:03	064	train	2.5722	0.3390	|	test	2.1933	0.2984
04-24 17:50:32	065	train	2.5575	0.3428	|	test	2.1715	0.2977
04-24 17:57:01	066	train	2.5404	0.3454	|	test	2.1729	0.3056
04-24 18:03:30	067	train	2.5284	0.3487	|	test	2.1406	0.2932
04-24 18:09:58	068	train	2.5134	0.3501	|	test	2.1822	0.3004
04-24 18:16:27	069	train	2.4940	0.3560	|	test	2.1242	0.3004
04-24 18:22:56	070	train	2.4714	0.3583	|	test	2.1739	0.3007
04-24 18:29:25	071	train	2.4559	0.3613	|	test	2.1402	0.2894
04-24 18:35:54	072	train	2.4336	0.3669	|	test	2.1571	0.3010
04-24 18:42:23	073	train	2.4149	0.3677	|	test	2.1497	0.2979
04-24 18:48:51	074	train	2.3983	0.3741	|	test	2.1151	0.2944
04-24 18:55:20	075	train	2.3749	0.3790	|	test	2.1016	0.2995
04-24 19:01:49	076	train	2.3624	0.3802	|	test	2.0858	0.3012
04-24 19:08:17	077	train	2.3412	0.3834	|	test	2.1048	0.2961
04-24 19:14:46	078	train	2.3107	0.3909	|	test	2.1035	0.2905
04-24 19:21:15	079	train	2.2841	0.3969	|	test	2.1171	0.3005
04-24 19:27:43	080	train	2.2638	0.3998	|	test	2.0921	0.2919
04-24 19:34:12	081	train	2.2386	0.4052	|	test	2.0922	0.3016
04-24 19:40:41	082	train	2.2075	0.4123	|	test	2.0562	0.3018
04-24 19:47:09	083	train	2.1868	0.4180	|	test	2.0740	0.2939
04-24 19:53:38	084	train	2.1525	0.4245	|	test	2.0355	0.2978
04-24 20:00:06	085	train	2.1168	0.4332	|	test	2.0634	0.2922
04-24 20:06:35	086	train	2.0819	0.4406	|	test	2.0468	0.2960
04-24 20:13:04	087	train	2.0411	0.4483	|	test	2.0598	0.2995
04-24 20:19:32	088	train	2.0028	0.4569	|	test	2.0561	0.2961
04-24 20:26:01	089	train	1.9609	0.4694	|	test	2.0410	0.2981
04-24 20:32:29	090	train	1.9132	0.4761	|	test	2.0375	0.2965
04-24 20:38:58	091	train	1.8567	0.4942	|	test	2.0274	0.2949
04-24 20:45:27	092	train	1.8040	0.5063	|	test	2.0114	0.2933
04-24 20:51:55	093	train	1.7414	0.5218	|	test	1.9945	0.2911
04-24 20:58:24	094	train	1.6751	0.5374	|	test	1.9854	0.2980
04-24 21:04:53	095	train	1.6004	0.5600	|	test	1.9765	0.2930
04-24 21:11:21	096	train	1.5319	0.5803	|	test	1.9708	0.2910
04-24 21:17:50	097	train	1.4468	0.6006	|	test	1.9866	0.2957
04-24 21:24:18	098	train	1.3596	0.6277	|	test	1.9645	0.2936
04-24 21:30:47	099	train	1.2757	0.6535	|	test	1.9598	0.2954
04-24 21:37:16	100	train	1.1971	0.6784	|	test	1.9329	0.2939
04-24 21:37:16	end training a model
04-24 21:37:16	elapsed time:10:48:14.108205

