04-23 00:02:37	##### arguments #####
04-23 00:02:37	dataset: cifar100
04-23 00:02:37	model_config: config/model/wrn-40-8.json
04-23 00:02:37	-- num_layer: 40
04-23 00:02:37	-- widening_factor: 8
04-23 00:02:37	run_config: config/run/adv_train.json
04-23 00:02:37	-- batch_size_train: 128
04-23 00:02:37	-- batch_size_eval: 256
04-23 00:02:37	-- num_epochs: 100
04-23 00:02:37	-- learning_rate: 0.1
04-23 00:02:37	-- learning_rate_scheduler: cyclicLR
04-23 00:02:37	-- momentum: 0.9
04-23 00:02:37	-- weight_decay: 0.0005
04-23 00:02:37	-- dropout_rate: 0
04-23 00:02:37	-- adv_train_type: pgd
04-23 00:02:37	-- epsilon_train: 8
04-23 00:02:37	-- alpha_train: 2
04-23 00:02:37	-- restarts_train: 1
04-23 00:02:37	-- attack_iters_train: 7
04-23 00:02:37	-- epsilon_eval: 8
04-23 00:02:37	-- alpha_eval: 2
04-23 00:02:37	-- restarts_eval: 1
04-23 00:02:37	-- attack_iters_eval: 5
04-23 00:02:37	device: cuda (1 GPUs)
04-23 00:02:37	output_path: results/cifar100/baselines/adversarial/wrn-40-8
04-23 00:02:37	log_file: results/cifar100/baselines/adversarial/wrn-40-8/adv_train_wrn_log.txt

04-23 00:02:37	start loading datasets: cifar100
04-23 00:02:39	loaded 50000 dataset_train samples
04-23 00:02:39	loaded 10000 dataset_test samples
04-23 00:02:39	elapsed time: 0:00:01.909249

04-23 00:02:39	start initializing a model
04-23 00:02:40	end initializing a model
04-23 00:02:40	elapsed time:0:00:00.585296

04-23 00:02:40	start setting trainer configurations
04-23 00:02:44	end setting trainer configurations
04-23 00:02:44	elapsed time:0:00:04.152912

04-23 00:02:44	start training a model
04-23 00:02:44	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-23 00:22:59	001	train	4.8157	0.0084	|	test	4.5263	0.0167
04-23 00:43:14	002	train	4.5515	0.0188	|	test	4.4149	0.0256
04-23 01:03:29	003	train	4.4776	0.0260	|	test	4.3367	0.0320
04-23 01:23:44	004	train	4.4240	0.0332	|	test	4.2362	0.0398
04-23 01:43:59	005	train	4.3570	0.0422	|	test	4.0806	0.0538
04-23 02:04:14	006	train	4.2286	0.0591	|	test	3.8903	0.0763
04-23 02:24:29	007	train	4.1246	0.0740	|	test	3.7727	0.0807
04-23 02:44:45	008	train	4.0409	0.0832	|	test	3.6388	0.1060
04-23 03:05:00	009	train	3.9589	0.0961	|	test	3.5184	0.1188
04-23 03:25:16	010	train	3.8855	0.1088	|	test	3.4816	0.1377
04-23 03:45:32	011	train	3.8089	0.1199	|	test	3.3278	0.1423
04-23 04:05:47	012	train	3.7403	0.1325	|	test	3.2284	0.1626
04-23 04:26:03	013	train	3.6715	0.1452	|	test	3.1570	0.1704
04-23 04:46:19	014	train	3.6090	0.1537	|	test	3.0908	0.1893
04-23 05:06:35	015	train	3.5498	0.1646	|	test	2.9889	0.1933
04-23 05:26:51	016	train	3.4891	0.1736	|	test	2.9360	0.2018
04-23 05:47:07	017	train	3.4378	0.1830	|	test	2.9075	0.2137
04-23 06:07:23	018	train	3.3920	0.1892	|	test	2.8253	0.2132
04-23 06:27:39	019	train	3.3430	0.1977	|	test	2.7681	0.2276
04-23 06:47:56	020	train	3.2986	0.2057	|	test	2.7270	0.2289
04-23 07:08:12	021	train	3.2550	0.2144	|	test	2.6993	0.2359
04-23 07:28:28	022	train	3.2153	0.2198	|	test	2.6328	0.2432
04-23 07:48:44	023	train	3.1813	0.2269	|	test	2.6113	0.2455
04-23 08:09:01	024	train	3.1439	0.2315	|	test	2.5678	0.2588
