04-14 05:08:54	##### arguments #####
04-14 05:08:54	dataset: cifar100
04-14 05:08:54	model_config: config/model/wrn-40-4.json
04-14 05:08:54	-- num_layer: 40
04-14 05:08:54	-- widening_factor: 4
04-14 05:08:54	run_config: config/run/std_train.json
04-14 05:08:54	-- batch_size_train: 128
04-14 05:08:54	-- batch_size_eval: 256
04-14 05:08:54	-- num_epochs: 100
04-14 05:08:54	-- learning_rate: 0.1
04-14 05:08:54	-- learning_rate_scheduler: cyclicLR
04-14 05:08:54	-- momentum: 0.9
04-14 05:08:54	-- weight_decay: 0.0005
04-14 05:08:54	-- dropout_rate: 0
04-14 05:08:54	device: cuda (1 GPUs)
04-14 05:08:54	output_path: results/cifar100/baselines/standard/wrn-40-4
04-14 05:08:54	log_file: results/cifar100/baselines/standard/wrn-40-4/std_train_wrn_log.txt

04-14 05:08:54	start loading datasets: cifar100
04-14 05:08:56	loaded 50000 dataset_train samples
04-14 05:08:56	loaded 10000 dataset_test samples
04-14 05:08:56	elapsed time: 0:00:01.454952

04-14 05:08:56	start initializing a model
04-14 05:08:56	end initializing a model
04-14 05:08:56	elapsed time:0:00:00.148162

04-14 05:08:56	start setting trainer configurations
04-14 05:09:00	end setting trainer configurations
04-14 05:09:00	elapsed time:0:00:03.881998

04-14 05:09:00	start training a model
04-14 05:09:00	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 05:09:45	001	train	4.5730	0.0211	|	test	4.4468	0.0312
04-14 05:10:29	002	train	4.2885	0.0538	|	test	4.1124	0.0752
04-14 05:11:13	003	train	3.9418	0.0990	|	test	3.7635	0.1230
04-14 05:11:58	004	train	3.5861	0.1505	|	test	3.4258	0.1788
04-14 05:12:42	005	train	3.2859	0.2025	|	test	3.1053	0.2328
04-14 05:13:27	006	train	2.9576	0.2612	|	test	2.8521	0.2811
04-14 05:14:11	007	train	2.6386	0.3188	|	test	2.6152	0.3276
04-14 05:14:55	008	train	2.3509	0.3768	|	test	2.4007	0.3625
04-14 05:15:40	009	train	2.1111	0.4321	|	test	2.0960	0.4321
04-14 05:16:24	010	train	1.9253	0.4725	|	test	2.1074	0.4513
04-14 05:17:09	011	train	1.7742	0.5094	|	test	2.0953	0.4473
04-14 05:17:53	012	train	1.6547	0.5367	|	test	1.7186	0.5177
04-14 05:18:38	013	train	1.5522	0.5631	|	test	1.7923	0.5147
04-14 05:19:22	014	train	1.4693	0.5831	|	test	1.8258	0.4977
04-14 05:20:07	015	train	1.3913	0.6019	|	test	1.5822	0.5647
04-14 05:20:51	016	train	1.3230	0.6202	|	test	1.6818	0.5402
04-14 05:21:36	017	train	1.2598	0.6369	|	test	1.5821	0.5661
04-14 05:22:20	018	train	1.2029	0.6517	|	test	1.5766	0.5670
04-14 05:23:05	019	train	1.1489	0.6677	|	test	1.6572	0.5557
04-14 05:23:49	020	train	1.0978	0.6806	|	test	1.4792	0.5903
04-14 05:24:34	021	train	1.0663	0.6879	|	test	1.4598	0.6000
04-14 05:25:18	022	train	1.0338	0.6969	|	test	1.3791	0.6202
04-14 05:26:03	023	train	0.9859	0.7092	|	test	1.4406	0.6088
04-14 05:26:47	024	train	0.9767	0.7111	|	test	1.4746	0.5982
04-14 05:27:32	025	train	0.9377	0.7229	|	test	1.4130	0.6116
04-14 05:28:16	026	train	0.9131	0.7306	|	test	1.4705	0.6072
04-14 05:29:01	027	train	0.8979	0.7339	|	test	1.4261	0.6205
04-14 05:29:45	028	train	0.8841	0.7382	|	test	1.4576	0.6127
04-14 05:30:29	029	train	0.8702	0.7417	|	test	1.4741	0.6053
04-14 05:31:14	030	train	0.8548	0.7437	|	test	1.4432	0.6123
04-14 05:31:59	031	train	0.8356	0.7521	|	test	1.4058	0.6238
