04-14 15:15:12	##### arguments #####
04-14 15:15:12	dataset: cifar100
04-14 15:15:12	model_config: config/model/wrn-16-8.json
04-14 15:15:12	-- num_layer: 16
04-14 15:15:12	-- widening_factor: 8
04-14 15:15:12	run_config: config/run/std_train_stepLR.json
04-14 15:15:12	-- batch_size_train: 128
04-14 15:15:12	-- batch_size_eval: 256
04-14 15:15:12	-- num_epochs: 200
04-14 15:15:12	-- learning_rate: 0.1
04-14 15:15:12	-- learning_rate_scheduler: stepLR
04-14 15:15:12	-- learning_rate_steps: [60, 120, 160]
04-14 15:15:12	-- learning_rate_decay: 0.2
04-14 15:15:12	-- momentum: 0.9
04-14 15:15:12	-- weight_decay: 0.0005
04-14 15:15:12	-- dropout_rate: 0
04-14 15:15:12	device: cuda (1 GPUs)
04-14 15:15:12	output_path: results/cifar100/baselines/standard_stepLR/wrn-16-8
04-14 15:15:12	log_file: results/cifar100/baselines/standard_stepLR/wrn-16-8/std_train_wrn_log.txt

04-14 15:15:12	start loading datasets: cifar100
04-14 15:15:13	loaded 50000 dataset_train samples
04-14 15:15:13	loaded 10000 dataset_test samples
04-14 15:15:13	elapsed time: 0:00:01.552157

04-14 15:15:13	start initializing a model
04-14 15:15:13	end initializing a model
04-14 15:15:13	elapsed time:0:00:00.186075

04-14 15:15:13	start setting trainer configurations
04-14 15:15:18	end setting trainer configurations
04-14 15:15:18	elapsed time:0:00:04.121730

04-14 15:15:18	start training a model
04-14 15:15:18	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 15:16:03	001	train	3.4369	0.1764	|	test	2.8895	0.2660
04-14 15:16:48	002	train	2.4697	0.3471	|	test	2.3038	0.3801
04-14 15:17:33	003	train	2.0156	0.4492	|	test	2.0754	0.4521
04-14 15:18:19	004	train	1.7594	0.5113	|	test	1.9802	0.4665
04-14 15:19:04	005	train	1.5829	0.5560	|	test	1.6999	0.5212
04-14 15:19:49	006	train	1.4592	0.5866	|	test	1.6467	0.5516
04-14 15:20:34	007	train	1.3605	0.6128	|	test	1.6468	0.5502
04-14 15:21:19	008	train	1.2950	0.6297	|	test	1.5992	0.5645
04-14 15:22:04	009	train	1.2326	0.6473	|	test	1.5992	0.5674
04-14 15:22:49	010	train	1.1810	0.6572	|	test	1.6296	0.5611
04-14 15:23:35	011	train	1.1392	0.6711	|	test	1.5457	0.5772
04-14 15:24:20	012	train	1.0958	0.6818	|	test	1.4960	0.5881
04-14 15:25:05	013	train	1.0656	0.6895	|	test	1.7005	0.5619
04-14 15:25:50	014	train	1.0463	0.6947	|	test	1.4101	0.6054
04-14 15:26:36	015	train	1.0239	0.7003	|	test	1.4439	0.6062
04-14 15:27:21	016	train	1.0026	0.7058	|	test	1.6548	0.5599
04-14 15:28:06	017	train	0.9795	0.7143	|	test	1.4883	0.5997
04-14 15:28:51	018	train	0.9660	0.7185	|	test	1.4299	0.6172
04-14 15:29:36	019	train	0.9476	0.7205	|	test	1.2715	0.6422
04-14 15:30:22	020	train	0.9336	0.7249	|	test	1.4357	0.6170
04-14 15:31:07	021	train	0.9208	0.7306	|	test	1.4595	0.6136
04-14 15:31:52	022	train	0.9133	0.7326	|	test	1.6189	0.5794
